iter	RMSE
0	18.2916388
1	17.69996246
2	17.14527315
3	16.62741818
4	16.14032226
5	15.68413344
6	15.25947407
7	14.86310411
8	14.48667293
9	14.14098574
10	13.81367166
11	13.51269813
12	13.22590945
13	12.95906384
14	12.71248934
15	12.48346234
16	12.27034694
17	12.06859022
18	11.87787481
19	11.70496093
20	11.5405482
21	11.38632787
22	11.24534417
23	11.10327354
24	10.97823504
25	10.8599865
26	10.75375525
27	10.64330363
28	10.54819229
29	10.4515265
30	10.36882293
31	10.29172138
32	10.21286819
33	10.14431049
34	10.08146354
35	10.02168832
36	9.965647382
37	9.905781031
38	9.851798214
39	9.8052454
40	9.762442643
41	9.721161162
42	9.682476466
43	9.646650584
44	9.613338875
45	9.583286333
46	9.554766573
47	9.52779693
48	9.494438649
49	9.470615053
50	9.448080065
51	9.425046154
52	9.405133478
53	9.378855103
54	9.347818852
55	9.330781773
56	9.315341352
57	9.298658863
58	9.282942835
59	9.268412213
60	9.250090242
61	9.23761093
62	9.225950609
63	9.213624147
64	9.202404225
65	9.192241363
66	9.171701721
67	9.162676023
68	9.144052975
69	9.132414961
70	9.121893006
71	9.114309302
72	9.106894328
73	9.10002407
74	9.085201537
75	9.079178418
76	9.073129215
77	9.066816013
78	9.061313824
79	9.053878513
80	9.048811324
81	9.043768564
82	9.03935588
83	9.034600997
84	9.030659976
85	9.026163057
86	9.01490385
87	9.011081185
88	9.000843829
89	8.995828709
90	8.987019812
91	8.983819943
92	8.980341536
93	8.9723756
94	8.969273041
95	8.966656375
96	8.959731288
97	8.956932358
98	8.954700486
99	8.952097723
100	8.945768731
101	8.943535873
102	8.941442637
103	8.935947975
104	8.933957048
105	8.929059705
106	8.924427503
107	8.922433368
108	8.92076111
109	8.916819013
110	8.915106869
111	8.911444513
112	8.90813618
113	8.906523087
114	8.905211445
115	8.90394627
116	8.902593811
117	8.901024128
118	8.899885462
119	8.898321725
120	8.895643129
121	8.89457213
122	8.892212237
123	8.891187446
124	8.890136415
125	8.889108783
126	8.888099064
127	8.887147339
128	8.886348647
129	8.885309595
130	8.88331644
131	8.882616362
132	8.881930774
133	8.881178266
134	8.880451535
135	8.878738388
136	8.877168879
137	8.875700557
138	8.875100592
139	8.874385123
140	8.873122014
141	8.87253095
142	8.872045476
143	8.871353642
144	8.870747421
145	8.869560531
146	8.869024696
147	8.867941084
148	8.866967072
149	8.866401656
150	8.865832814
151	8.86529382
152	8.864758345
153	8.864345332
154	8.863517465
155	8.863027041
156	8.862460935
157	8.861737177
158	8.8613303
159	8.860936206
160	8.860421586
161	8.860109742
162	8.859693488
163	8.859386843
164	8.859046402
165	8.858707276
166	8.858282375
167	8.857642429
168	8.857078944
169	8.856586933
170	8.856274809
171	8.855704679
172	8.855336451
173	8.854878739
174	8.854576644
175	8.854142923
176	8.853870539
177	8.853373995
178	8.852966074
179	8.852561135
180	8.852117509
181	8.85192686
182	8.851721467
183	8.851222586
184	8.850924135
185	8.850561545
186	8.850294391
187	8.849942745
188	8.849635705
189	8.849281811
190	8.849055634
191	8.848857197
192	8.848628061
193	8.84836632
194	8.84813719
195	8.847942416
196	8.84766525
197	8.847462724
198	8.847166442
199	8.846936717
200	8.846529688
201	8.846166838
202	8.845825837
203	8.845487667
204	8.845163839
205	8.844888173
206	8.844731538
207	8.844502554
208	8.844270501
209	8.844109796
210	8.843775156
211	8.84346313
212	8.84323028
213	8.842985956
214	8.842752726
215	8.84246945
216	8.842160434
217	8.841968297
218	8.841748962
219	8.841566745
220	8.841322375
221	8.84112507
222	8.840937648
223	8.840710755
224	8.840455044
225	8.840219983
226	8.839984494
227	8.839797323
228	8.839572117
229	8.839311386
230	8.83907409
231	8.838714971
232	8.838399089
233	8.838229564
234	8.838003538
235	8.837786524
236	8.837607336
237	8.837408124
238	8.837193799
239	8.837064847
240	8.836925913
241	8.836670874
242	8.836518017
243	8.836319083
244	8.836121191
245	8.835981628
246	8.835833026
247	8.835645311
248	8.835456254
249	8.835243582
250	8.835059719
251	8.834878943
252	8.834637214
253	8.83448514
254	8.834355695
255	8.834100328
256	8.833924527
257	8.833713667
258	8.833586563
259	8.83343099
260	8.833240383
261	8.833087219
262	8.832950369
263	8.832681042
264	8.832519673
265	8.832234077
266	8.832111442
267	8.831882668
268	8.831729422
269	8.83159536
270	8.831412043
271	8.83122354
272	8.831045132
273	8.830880427
274	8.830763303
275	8.830426463
276	8.830237515
277	8.830086667
278	8.829903885
279	8.829694307
280	8.829443392
281	8.8292566
282	8.829019855
283	8.828713764
284	8.828537778
285	8.828337967
286	8.828214431
287	8.828001674
288	8.827892122
289	8.827710667
290	8.827555823
291	8.827386176
292	8.827199916
293	8.82700659
294	8.826857283
295	8.82671714
296	8.826542448
297	8.826329774
298	8.8261865
299	8.825892501
300	8.825726481
301	8.825534501
302	8.82542477
303	8.825198613
304	8.824991676
305	8.824809385
306	8.824640552
307	8.824470777
308	8.824300109
309	8.824178916
310	8.824028605
311	8.823859983
312	8.823671567
313	8.823460943
314	8.823271861
315	8.823038193
316	8.822909589
317	8.822783097
318	8.822622853
319	8.822520698
320	8.822340204
321	8.822176371
322	8.822036811
323	8.821889848
324	8.821727863
325	8.821525904
326	8.821377489
327	8.821183649
328	8.821005369
329	8.820823932
330	8.820666212
331	8.820515313
332	8.820335663
333	8.820188632
334	8.820006548
335	8.819872423
336	8.819667574
337	8.819449697
338	8.819269842
339	8.81911315
340	8.81889021
341	8.818742069
342	8.818512434
343	8.818364565
344	8.818223295
345	8.81807039
346	8.817849239
347	8.817716324
348	8.817552899
349	8.817450204
