iter	Passed	Remaining
0	80	80737
1	161	80430
2	239	79447
3	316	78737
4	395	78768
5	476	78968
6	558	79184
7	636	78944
8	716	78848
9	794	78677
10	874	78638
11	960	79047
12	1041	79066
13	1121	78995
14	1200	78861
15	1277	78573
16	1357	78472
17	1434	78286
18	1513	78138
19	1595	78161
20	1675	78102
21	1755	78045
22	1835	77974
23	1920	78109
24	1999	77984
25	2074	77701
26	2153	77611
27	2231	77459
28	2304	77167
29	2376	76830
30	2448	76540
31	2526	76427
32	2607	76415
33	2679	76116
34	2758	76045
35	2828	75738
36	2919	75983
37	2999	75934
38	3078	75856
39	3146	75524
40	3225	75451
41	3301	75316
42	3376	75157
43	3446	74890
44	3523	74777
45	3600	74679
46	3678	74592
47	3749	74355
48	3833	74408
49	3898	74063
50	3967	73829
51	4038	73620
52	4107	73385
53	4184	73299
54	4251	73043
55	4328	72973
56	4381	72479
57	4459	72433
58	4525	72175
59	4593	71965
60	4671	71904
61	4724	71482
62	4803	71435
63	4881	71395
64	4926	70872
65	5002	70786
66	5080	70744
67	5143	70501
68	5208	70273
69	5277	70112
70	5333	69789
71	5407	69695
72	5477	69561
73	5553	69499
74	5622	69349
75	5690	69183
76	5752	68960
77	5842	69066
78	5910	68903
79	5969	68649
80	6035	68476
81	6101	68305
82	6164	68101
83	6241	68060
84	6309	67917
85	6381	67817
86	6453	67724
87	6521	67591
88	6593	67487
89	6652	67269
90	6722	67148
91	6782	66938
92	6855	66864
93	6920	66704
94	6981	66503
95	7041	66304
96	7107	66166
97	7162	65925
98	7232	65824
99	7293	65641
100	7375	65645
101	7444	65542
102	7513	65431
103	7577	65283
104	7631	65048
105	7701	64952
106	7779	64926
107	7847	64812
108	7902	64600
109	7977	64542
110	8040	64392
111	8108	64287
112	8177	64188
113	8259	64191
114	8342	64197
115	8410	64096
116	8473	63952
117	8537	63813
118	8614	63773
119	8673	63603
120	8739	63491
121	8797	63314
122	8860	63178
123	8929	63085
124	9007	63050
125	9064	62874
126	9124	62723
127	9179	62532
128	9237	62374
129	9311	62317
130	9389	62286
131	9449	62136
132	9496	61902
